association_id,date,outcome,acted_on
0649768a,2013-01-04T00:00:00.00Z,0,True
1357794a,2013-01-04T00:00:00.00Z,0,True
2379764a,2013-01-04T00:00:00.00Z,0,False
3981806a,2013-01-04T00:00:00.00Z,0,True
4329555a,2013-01-04T00:00:00.00Z,0,False
5617974a,2013-01-04T00:00:00.00Z,0,False
63401a,2013-01-04T00:00:00.00Z,0,False
7306305a,2013-01-04T00:00:00.00Z,0,False
8895520a,2013-01-04T00:00:00.00Z,0,False
9611156a,2013-01-04T00:00:00.00Z,0,False
10400080a,2013-01-04T00:00:00.00Z,0,True
11998056a,2013-01-04T00:00:00.00Z,0,False
12169824a,2013-01-04T00:00:00.00Z,0,False
13454360a,2013-01-04T00:00:00.00Z,0,True
14526476a,2013-01-04T00:00:00.00Z,0,False
15697533a,2013-01-04T00:00:00.00Z,0,False
16302302a,2013-01-04T00:00:00.00Z,0,True
17847660a,2013-01-04T00:00:00.00Z,0,True
18273744a,2013-01-04T00:00:00.00Z,0,False
19314242a,2013-01-04T00:00:00.00Z,0,True
2035273a,2013-01-04T00:00:00.00Z,0,True
21765621a,2013-01-04T00:00:00.00Z,0,True
22788278a,2013-01-04T00:00:00.00Z,0,True
2343214a,2013-01-04T00:00:00.00Z,0,False
24686494a,2013-01-04T00:00:00.00Z,0,True
25973458a,2013-01-04T00:00:00.00Z,0,True
26559837a,2013-01-04T00:00:00.00Z,0,True
27676592a,2013-01-04T00:00:00.00Z,0,False
28994736a,2013-01-04T00:00:00.00Z,0,False
29533677a,2013-01-04T00:00:00.00Z,0,False
30513578a,2013-01-04T00:00:00.00Z,0,True
31607844a,2013-01-04T00:00:00.00Z,0,True
32208255a,2013-01-06T00:00:00.00Z,1,False
33393850a,2013-01-06T00:00:00.00Z,1,False
34656003a,2013-01-06T00:00:00.00Z,1,True
35335061a,2013-01-06T00:00:00.00Z,1,False
36791386a,2013-01-06T00:00:00.00Z,1,True
37569894a,2013-01-06T00:00:00.00Z,1,False
38900468a,2013-01-06T00:00:00.00Z,1,True
39217536a,2013-01-06T00:00:00.00Z,1,True
